Diptera,Glossinidae,Glossina brevipalpis,[37001](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=37001 "NCBI Taxonomy DB Record"),tsetse fly,[15576](https://www.ncbi.nlm.nih.gov/genome/?term=15576 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Tenthredinidae,Athalia rosae,[37344](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=37344 "NCBI Taxonomy DB Record"),coleseed sawfly,[14027](https://www.ncbi.nlm.nih.gov/genome/?term=14027 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila ficusphila,[30025](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30025 "NCBI Taxonomy DB Record"),NA,[3491](https://www.ncbi.nlm.nih.gov/genome/?term=3491 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila suzukii,[28584](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28584 "NCBI Taxonomy DB Record"),NA,[18317](https://www.ncbi.nlm.nih.gov/genome/?term=18317 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Tephritidae,Bactrocera cucurbitae,[28588](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28588 "NCBI Taxonomy DB Record"),melon fly; melon fruit fly,[11807](https://www.ncbi.nlm.nih.gov/genome/?term=11807 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Tephritidae,Rhagoletis zephyria,[28612](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28612 "NCBI Taxonomy DB Record"),snowberry fruit fly; snowberry maggot,[45568](https://www.ncbi.nlm.nih.gov/genome/?term=45568 "NCBI Genome DB Record")
Diptera,Drosophilidae,Drosophila eugracilis,[29029](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29029 "NCBI Taxonomy DB Record"),NA,[6863](https://www.ncbi.nlm.nih.gov/genome/?term=6863 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila takahashii,[29030](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29030 "NCBI Taxonomy DB Record"),NA,[3493](https://www.ncbi.nlm.nih.gov/genome/?term=3493 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Psychodidae,Phlebotomus papatasi,[29031](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29031 "NCBI Taxonomy DB Record"),NA,[10999](https://www.ncbi.nlm.nih.gov/genome/?term=10999 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Encyrtidae,Copidosoma floridanum,[29053](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29053 "NCBI Taxonomy DB Record"),NA,[12734](https://www.ncbi.nlm.nih.gov/genome/?term=12734 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
